year,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1969,6.945,13.407,23.09,35.351,48.031,58.285,64.61,69.149,70.631,70.348,69.032,67.032,64.709,62.282,60.234,58.701,56.912,54.099,50.72,47.636,44.569,41.105,37.474,33.63,29.572,25.39,20.963,16.389,12.321,8.941,6.295,4.349,3.031,2.151,1.342
1970,7.049,13.583,23.312,35.474,47.805,59.573,66.636,69.901,71.823,71.016,69.008,66.23,63.505,60.661,58.028,55.889,54.495,53.003,50.548,47.553,44.501,41.321,37.631,33.758,29.756,25.533,21.116,16.638,12.59,9.172,6.504,4.515,3.137,2.225,1.396
1971,7.291,13.988,23.706,35.709,47.674,58.799,67.691,71.811,72.395,72.154,69.721,66.391,63.002,59.764,56.706,53.957,51.954,50.75,49.399,47.097,43.956,40.724,37.306,33.446,29.532,25.518,21.225,16.85,12.913,9.506,6.785,4.748,3.308,2.329,1.455
1972,7.395,14.144,23.723,35.541,47.394,58.268,66.945,73.499,75.079,73.479,71.446,67.476,63.29,59.175,55.596,52.338,49.745,47.986,46.936,45.723,43.299,40.045,36.602,33.001,29.113,25.181,21.059,16.788,12.942,9.63,6.93,4.868,3.41,2.4,1.485
1973,7.7,14.66,24.476,36.476,48.542,59.52,68.092,74.201,77.776,76.459,72.323,68.154,62.994,57.989,53.633,50.007,47.132,45.018,43.666,42.943,41.634,39.036,35.518,31.818,28.043,24.015,19.939,15.886,12.249,9.159,6.675,4.754,3.365,2.391,1.481
1974,7.555,14.396,24.5,37.216,50.037,61.916,70.809,76.325,78.637,78.427,73.729,67.015,61.515,55.741,50.863,46.92,44.078,42.024,40.657,39.909,39.132,37.542,34.589,30.768,26.836,22.867,18.82,14.978,11.679,8.924,6.714,4.996,3.688,2.695,1.7
1975,5.968,11.618,21.715,35.847,51.079,65.773,76.042,81.247,82.017,79.384,74.873,66.956,59.005,53.106,47.892,43.925,41.101,39.291,38.174,37.531,36.698,35.52,33.407,29.998,25.912,21.822,17.962,14.313,11.321,8.949,7.013,5.468,4.241,3.212,2.068
1976,6.403,12.364,22.234,35.508,49.544,63.17,72.963,78.585,80.215,78.337,74.139,68.585,60.892,53.24,47.747,42.946,39.371,36.895,35.426,34.527,33.479,32.2,30.588,28.181,24.851,21.093,17.539,14.29,11.559,9.428,7.666,6.173,4.929,3.823,2.498
1977,6.057,11.685,21.604,35.431,50.275,64.904,75.227,80.811,82.498,80.54,75.777,69.223,62.454,54.115,46.587,41.28,36.887,33.749,31.681,30.442,29.284,28.027,26.518,24.754,22.545,19.704,16.582,13.638,11.206,9.196,7.514,6.086,4.879,3.81,2.521
1978,6.52,12.619,23.116,37.486,52.549,66.676,76.359,81.338,82.636,80.894,76.524,70.121,63.139,56.291,48.658,41.835,37.091,33.128,30.183,28.049,26.362,24.798,23.088,21.27,19.499,17.477,14.923,12.174,9.844,7.947,6.326,4.997,3.941,3.049,2.015
1979,6.181,12.319,23.26,38.562,54.724,70.291,79.954,83.862,84.001,81.129,76.334,69.881,62.701,55.516,49.277,42.643,36.812,32.688,29.032,26.119,23.924,22.282,20.637,18.944,17.483,16.216,14.532,12.305,10.156,8.359,6.806,5.425,4.313,3.37,2.245
1980,7.253,14.502,27.09,44.094,61.091,76.191,85.099,87.705,86.601,82.68,76.981,70.141,62.898,55.656,49.161,43.656,37.844,32.733,29,25.641,23.006,20.947,19.092,17.258,15.58,14.055,12.398,10.424,8.385,6.53,5.013,3.807,2.885,2.19,1.443
1981,7.636,15.29,28.339,45.767,62.708,77.206,85.564,87.799,86.295,82.181,76.454,69.565,62.498,55.373,48.714,42.839,37.906,32.729,28.074,24.654,21.737,19.469,17.477,15.669,14.053,12.578,11.006,9.327,7.682,6.086,4.676,3.555,2.717,2.063,1.36
1982,8.063,15.969,28.535,44.841,60.379,73.376,80.938,83.392,82.777,79.672,74.913,68.854,62.182,55.308,48.679,42.509,37.15,32.687,28.013,23.916,21.085,18.707,16.646,14.811,13.28,11.903,10.413,8.833,7.419,6.105,4.845,3.741,2.894,2.225,1.467
1983,7.777,15.468,27.593,43.327,58.456,71.231,78.563,80.849,80.305,77.537,73.008,67.26,60.965,54.393,48.188,42.343,37.046,32.457,28.577,24.543,21.098,18.688,16.396,14.366,12.666,11.216,9.714,8.157,6.797,5.658,4.621,3.651,2.839,2.185,1.448
